parent_channel,child_channel,out_deg
All Souls Unitarian,"['Carlton D Pearson', 'All Souls Unitarian', 'All Souls Unitarian', 'All Souls Unitarian', 'All Souls Unitarian', 'All Souls Unitarian', 'All Souls Unitarian', 'All Souls Unitarian', 'All Souls Unitarian', 'All Souls Unitarian']",13
All The Amazing,"['Macan', 'All The Amazing']",13
All Things Human,"['World 5 List', 'Origins Explained', 'MAD LAB', 'All Things Human']",13
AllDavidLetterman,"['Richard Binckley', 'Joseph Stefanelli', 'AllDavidLetterman', 'AllDavidLetterman', 'AllDavidLetterman', 'NBA Got Game TV']",13
AllanHunter1,"['16x9onglobal', 'Jake Norton']",13
Allec Joshua Ibay,"['Heavy Equipment Accidents HD', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'X Pilot', 'X Pilot', 'X Pilot', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Worldaviation 4K', 'Captain Boeing', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'X Pilot', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Airplane Central', 'SKBenergy', 'SKBenergy', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'Allec Joshua Ibay', 'X Pilot', 'Allec Joshua Ibay', 'Allec Joshua Ibay']",13
Allina Health,"['World Economic Forum', 'HUBweek']",13
AlltimeMovies,"['Enforcedstorm4', 'AlltimeMovies']",13
Alonso Aaron,"['St. Francis College', 'Antonio Houle']",13
Alpha Male Conceited Chris,"['Right Politics', 'Grey Disciple']",13
AlphaTube™,"['AlphaTube™', 'AlphaTube™']",13
Alquan,"['Irritated Genie Speaks', 'Alquan', 'Alquan', 'Alquan', 'Alquan', 'KnowTheTruthTV', 'Alquan', 'Alquan', 'Alquan', 'Alquan', 'Alquan', 'Alquan', 'Alquan', 'Alquan', 'IRONMUHAMMAD68', 'Alquan', 'Alquan', 'Alquan']",13
Alt Shift X,"['Alt Shift X', 'Alt Shift X', 'Alt Shift X', 'Alt Shift X', 'Alt Shift X', 'Alt Shift X', 'Talking Thrones', 'Alt Shift X', 'Alt Shift X', 'Alt Shift X', 'Alt Shift X', 'Alt Shift X', 'Alt Shift X', 'Alt Shift X']",13
Alux.com,"['ColdFusion', 'ListJumbo', 'Grasshopper', 'Business Casual', 'MulliganBrothers', 'The Wendy Williams Show', 'Mo10ta', 'Alux.com', 'Alux.com', 'Alux.com', 'ABC News (Australia)', 'Sling and Stone', 'Alux.com', 'Alux.com', 'Beyond Science 2', 'Alux.com']",13
Alvarado Betty,"['Riley Leslie', 'Real Time with Bill Maher']",13
Amazing Machines,"['WHO_TEE_WHO', 'Amazing Machines']",13
Amazing Stock,"['SMART BANANA', 'World 5 List', 'MAD LAB', 'MAD LAB', 'Amazing Stock', 'Trend Max', 'Origins Explained', 'Amazing Stock']",13
AmazingFacts,"['Doug Batchelor', '11:11 Ministries', 'AmazingFacts']",13
Ambitious Randomness,"['BE AMAZED', 'THE times']",13
America Uncovered,"['America Uncovered', 'America Uncovered', 'America Uncovered', 'America Uncovered']",13
America's Funniest Home Videos,['JukinVideo'],13
America's Got Talent,"['Got Talent Global', ""Magician's Got Talent"", ""America's Got Talent""]",13
American Christian TV,"['Prophecy Words', 'Donné Clement Petruska']",13
American Conservative Union,"['studentsforlife', 'American Conservative Union', 'American Conservative Union', 'FOX 10 Phoenix', 'FOX 10 Phoenix', 'Informative', 'Informative', 'Candace Owens', 'Informative', 'American Conservative Union', 'American Conservative Union', 'American Conservative Union', 'The Still Report', 'The Still Report', 'American Conservative Union', 'American Conservative Union']",13
American Express,"['Ubiquity', 'KPBS News']",13
American Eye,"['Best Documentary', 'Blast World Mysteries', 'Blast World Mysteries', 'Amazing Stock', 'Naked Science', 'BE AMAZED', 'Talltanic', 'TVR Exploring', 'American Eye', 'Ryan Holman', 'RT America', 'World Unearthed', 'Knowledge Feed', 'Epic Compilation']",13
American Film Institute,"['American Film Institute', 'ABC News', 'American Film Institute', 'American Film Institute', 'TheEllenShow', 'American Film Institute', 'American Film Institute', 'The Graham Norton Show']",13
American Freedom Alliance,"['TJ Singh', 'Steamboat Institute']",13
American Geosciences Institute,"['Naked Science', 'SpaceRip']",13
American Heroes Channel,"['crocodile242', 'tcmedianow', 'Metal Detecting WWII Battlegrounds', 'World at War']",13
American Iron Magazine,"['CNBC Prime', 'East Idaho News']",13
American Liberty,"['Voice Liberty', 'Informative']",13
American Museum of Natural History,"['The Royal Institution', 'Astrum']",13
American Patriot,"['FREEMAN', 'Amicus Humani Generis']",13
AmericanGlob,"['AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob', 'AmericanGlob']",13
AmericanRhetoric.com,"[""I'm a millionaire"", 'TradingCoachUK']",13
AmericanShows,"['Digital Guru', 'Özgür Mısırlı']",13
Americans Channel,"['Amazing Stock', 'kingkiller 1234', 'Scotty Sabo', 'World 5 List']",13
Amerikano,"['Matrix Wisdom', 'Disclosed TruthTV', 'HISTORY', 'Amerikano', 'VISUAL', 'Amerikano']",13
Amherst Republicans,"['Bowdoin College', 'CUI BONO MUNDE!']",13
